GENE HGNC_GENE
28 ABO
87 ACTN1
92 ACVR2A
102 ADAM10
105 ADARB2
116 ADCYAP1
310 ANXA7
327 APEH
337 APOA4
348 APOE
368 ABCC6
379 ARL4D
390 RND3
463 ZFHX3
466 ATF1
481 ATP1B1
506 ATP5B
516 ATP5G1
534 ATP6V1G2
539 ATP5O
571 BACH1
595 CCND1
627 BDNF
629 CFB
662 BNIP1
665 BNIP3L
717 C2
733 C8G
744 MPPED2
776 CACNA1D
783 CACNB2
818 CAMK2G
829 CAPZA1
846 CASR
857 CAV1
858 CAV2
939 CD27
949 SCARB1
955 ENTPD6
995 CDC25C
1014 CDH16
1021 CDK6
1026 CDKN1A
1029 CDKN2A
1030 CDKN2B
1031 CDKN2C
1058 CENPA
1108 CHD4
1112 FOXN3
1131 CHRM3
1136 CHRNA3
1143 CHRNB4
1163 CKS1B
1187 CLCNKA
1241 LTB4R
1282 COL4A1
1284 COL4A2
1286 COL4A4
1307 COL16A1
1340 COX6B1
1360 CPB1
1369 CPN1
1388 ATF6B
1432 MAPK14
1442 CSH1
1455 CSNK1G2
1488 CTBP2
1495 CTNNA1
1548 CYP2A6
1601 DAB2
1621 DBH
1644 DDC
1659 DHX8
1687 DFNA5
1731 SEPT1
1757 SARDH
1762 DMWD
1806 DPYD
1816 DRD5
1819 DRG2
1869 E2F1
1879 EBF1
1942 EFNA1
1952 CELSR2
1962 EHHADH
1967 EIF2B1
1981 EIF4G1
2028 ENPEP
2055 CLN8
2060 EPS15
2064 ERBB2
2116 ETV2
2118 ETV4
2176 FANCC
2184 FAH
2186 BPTF
2201 FBN2
2217 FCGRT
2230 FDX1
2242 FES
2526 FUT4
2535 FZD2
2565 GABRG1
2590 GALNT2
2676 GFRA3
2690 GHR
2695 GIP
2696 GIPR
2740 GLP1R
2765 GML
2775 GNAO1
2791 GNG11
2798 GNRHR
2801 GOLGA2
2804 GOLGB1
2908 NR3C1
2921 CXCL3
2961 GTF2E2
2967 GTF2H3
2969 GTF2I
2975 GTF3C1
2982 GUCY1A3
3059 HCLS1
3090 HIC1
3092 HIP1
3097 HIVEP2
3106 HLA-B
3110 MNX1
3117 HLA-DQA1
3131 HLF
3145 HMBS
3178 HNRNPA1
3184 HNRNPD
3200 HOXA3
3201 HOXA4
3221 HOXC4
3222 HOXC5
3234 HOXD8
3460 IFNGR2
3535 IGL
3569 IL6
3658 IREB2
3683 ITGAL
3699 ITIH3
3700 ITIH4
3708 ITPR1
3757 KCNH2
3768 KCNJ12
3777 KCNK3
3795 KHK
3908 LAMA2
3988 LIPA
3992 FADS1
4010 LMX1B
4014 LOR
4016 LOXL1
4018 LPA
4023 LPL
4046 LSP1
4082 MARCKS
4088 SMAD3
4143 MAT1A
4150 MAZ
4166 CHST6
4209 MEF2D
4217 MAP3K5
4239 MFAP4
4291 MLF1
4299 AFF1
4300 MLLT3
4302 MLLT6
4323 MMP14
4485 MST1
4486 MST1R
4542 MYO1F
4629 MYH11
4666 NACA
4691 NCL
4744 NEFH
4760 NEUROD1
4776 NFATC4
4795 NFKBIL1
4808 NHLH2
4811 NID1
4817 NIT1
4828 NMB
4836 NMT1
4839 NOP2
4855 NOTCH4
4864 NPC1
4891 SLC11A2
4928 NUP98
4978 OPCML
5000 ORC4
5029 P2RY2
5033 P4HA1
5116 PCNT
5122 PCSK1
5151 PDE8A
5176 SERPINF1
5289 PIK3C3
5308 PITX2
5326 PLAGL2
5331 PLCB3
5409 PNMT
5414 SEPT4
5469 MED1
5500 PPP1CB
5520 PPP2R2A
5534 PPP3R1
5557 PRIM1
5580 PRKCD
5587 PRKD1
5590 PRKCZ
5596 MAPK4
5598 MAPK7
5610 EIF2AK2
5652 PRSS8
5691 PSMB3
5694 PSMB6
5708 PSMD2
5713 PSMD7
5796 PTPRK
5826 ABCD4
5865 RAB3B
5878 RAB5C
5879 RAC1
5912 RAP2B
5915 RARB
5918 RARRES1
5928 RBBP4
5949 RBP3
5987 TRIM27
5992 RFX4
6001 RGS10
6018 RLF
6048 RNF5
6133 RPL9
6198 RPS6KB1
6228 RPS23
6261 RYR1
6311 ATXN2
6428 SRSF3
6439 SFTPB
6499 SKIV2L
6512 SLC1A7
6532 SLC6A4
6541 SLC7A1
6546 SLC8A1
6559 SLC12A3
6584 SLC22A5
6598 SMARCB1
6631 SNRPC
6640 SNTA1
6720 SREBF1
6738 TROVE2
6801 STRN
6810 STX4
6834 SURF1
6840 SVIL
6878 TAF6
6885 MAP3K7
6909 TBX2
6911 TBX6
6964 TRD
7021 TFAP2B
7024 TFCP2
7040 TGFB1
7046 TGFBR1
7073 TIAL1
7079 TIMP4
7084 TK2
7091 TLE4
7094 TLN1
7124 TNF
7140 TNNT3
7145 TNS1
7148 TNXB
7187 TRAF3
7253 TSHR
7297 TYK2
7318 UBA7
7325 UBE2E2
7357 UGCG
7366 UGT2B15
7389 UROD
7423 VEGFB
7466 WFS1
7481 WNT11
7482 WNT2B
7490 WT1
7538 ZFP36
7546 ZIC2
7551 ZNF3
7572 ZNF24
7586 ZKSCAN1
7587 ZNF37A
7593 MZF1
7692 ZNF133
7703 PCGF2
7709 ZBTB17
7730 ZNF177
7840 ALMS1
7844 RNF103
7884 SLBP
7919 DDX39B
7936 NELFE
7940 LST1
7942 TFEB
8022 LHX3
8028 MLLT10
8050 PDHX
8204 NRIP1
8315 BRAP
8344 HIST1H2BE
8369 HIST1H4G
8382 NME5
8405 SPOP
8446 DUSP11
8499 PPFIA2
8508 NIPSNAP1
8509 NDST2
8529 CYP4F2
8539 API5
8548 BLZF1
8563 THOC5
8577 TMEFF1
8613 PPAP2B
8630 HSD17B6
8661 EIF3A
8673 VAMP8
8697 CDC23
8707 B3GALT2
8728 ADAM19
8731 RNMT
8749 ADAM18
8771 TNFRSF6B
8780 RIOK3
8816 DCAF5
8824 CES2
8859 STK19
8872 CDC123
8881 CDC16
8882 ZPR1
8927 BSN
8932 MBD2
8974 P4HA2
9015 TAF1A
9026 HIP1R
9027 NAT8
9039 UBA3
9046 DOK2
9056 SLC7A7
9110 MTMR4
9129 PRPF3
9139 CBFA2T2
9162 DGKI
9175 MAP3K13
9179 AP4M1
9262 STK17B
9267 CYTH1
9311 ASIC3
9374 PPT2
9472 AKAP6
9497 SLC4A7
9498 SLC4A8
9499 MYOT
9507 ADAMTS4
9517 SPTLC2
9531 BAG3
9551 ATP5J2
9632 SEC24C
9640 ZNF592
9644 SH3PXD2A
9646 CTR9
9651 PLCH2
9657 IQCB1
9688 NUP93
9690 UBE3C
9694 EMC2
9718 ECE2
9726 ZNF646
9727 RAB11FIP3
9728 SECISBP2L
9745 ZNF536
9749 PHACTR2
9757 KMT2B
9782 MATR3
9805 SCRN1
9807 IP6K1
9830 TRIM14
9839 ZEB2
9851 KIAA0753
9881 TRANK1
9899 SV2B
9905 SGSM2
9955 HS3ST3A1
9963 SLC23A1
9989 PPP4R1
10019 SH2B3
10061 ABCF2
10087 COL4A3BP
10089 KCNK7
10112 KIF20A
10130 PDIA6
10139 ARFRP1
10153 CEBPZ
10199 MPHOSPH10
10213 PSMD14
10235 RASGRP2
10269 ZMPSTE24
10284 SAP18
10293 TRAIP
10327 AKR1A1
10367 MICU1
10400 PEMT
10407 SPAG11B
10428 CFDP1
10452 TOMM40
10485 C1orf61
10488 CREB3
10541 ANP32B
10554 AGPAT1
10584 COLEC10
10591 DNPH1
10598 AHSA1
10600 USP16
10642 IGF2BP1
10669 CGREF1
10713 USP39
10743 RAI1
10749 KIF1C
10763 NES
10777 ARPP21
10781 ZNF266
10791 VAMP5
10840 ALDH1L1
10858 CYP46A1
10864 SLC22A7
10898 CPSF4
10902 BRD8
10912 GADD45G
10919 EHMT2
10949 HNRNPA0
10952 SEC61B
10973 ASCC3
10982 MAPRE2
11030 RBPMS
11045 UPK1A
11060 WWP2
11077 HSF2BP
11093 ADAMTS13
11094 CACFD1
11151 CORO1A
11157 LSM6
11177 BAZ1A
11200 CHEK2
11214 AKAP13
11264 PXMP4
11267 SNF8
11281 POU6F2
11319 ECD
22801 ITGA11
22803 XRN2
22809 ATF5
22905 EPN2
22924 MAPRE3
22996 TTC39A
23013 SPEN
23022 PALLD
23036 ZNF292
23039 XPO7
23053 ZSWIM8
23066 CAND2
23075 SWAP70
23076 RRP1B
23090 ZNF423
23139 MAST2
23181 DIP2A
23211 ZC3H4
23217 ZFR2
23231 SEL1L3
23234 DNAJC9
23248 RPRD2
23293 SMG6
23302 WSCD1
23318 ZCCHC11
23368 PPP1R13B
23373 CRTC1
23403 FBXO46
23468 CBX5
23475 QPRT
23478 SEC11A
23491 CES3
23509 POFUT1
23516 SLC39A14
23532 PRAME
23583 SMUG1
23636 NUP62
23660 ZKSCAN5
23683 PRKD3
23705 CADM1
23731 TMEM245
25770 C22orf31
25780 RASGRP3
25840 METTL7A
25875 LETMD1
25885 POLR1A
25934 NIPSNAP3A
25959 KANK2
25961 NUDT13
25972 UNC50
26010 SPATS2L
26024 PTCD1
26045 LRRTM2
26046 LTN1
26084 ARHGEF26
26157 GIMAP2
26173 INTS1
26228 STAP1
26249 KLHL3
26269 FBXO8
26994 RNF11
27033 ZBTB32
27034 ACAD8
27039 PKD2L2
27077 B9D1
27086 FOXP1
27101 CACYBP
27129 HSPB7
27151 CPAMD8
27166 PRELID1
27233 SULT1C4
27243 CHMP2A
27291 R3HCC1L
27327 TNRC6A
27345 KCNMB4
28956 LAMTOR2
28992 MACROD1
29796 UQCR10
29803 REPIN1
29887 SNX10
29895 MYLPF
29915 HCFC2
29919 C18orf8
29923 HILPDA
29945 ANAPC4
29989 OBP2B
29995 LMCD1
29998 GLTSCR1
30813 VSX1
30819 KCNIP2
50488 MINK1
50651 SLC45A1
51002 TPRKB
51003 MED31
51021 MRPS16
51022 GLRX2
51074 APIP
51091 SEPSECS
51117 COQ4
51144 HSD17B12
51174 TUBD1
51192 CKLF
51232 CRIM1
51251 NT5C3A
51257 MARCH2
51306 FAM13B
51307 FAM53C
51308 REEP2
51319 RSRC1
51373 MRPS17
51377 UCHL5
51426 POLK
51471 NAT8B
51504 TRMT112
51652 CHMP3
51725 FBXO40
51754 TMEM8B
51755 CDK12
51760 SYT17
51780 KDM3B
54187 NANS
54439 RBM27
54456 MOV10L1
54480 CHPF2
54497 HEATR5B
54511 HMGCLL1
54567 DLL4
54587 MXRA8
54629 FAM63B
54664 TMEM106B
54753 ZNF853
54814 QPCTL
54867 TMEM214
54879 ST7L
54887 UHRF1BP1
54894 RNF43
54897 CASZ1
54908 SPDL1
54923 LIME1
54931 TRMT10C
54940 OCIAD1
54978 SLC35F6
54993 ZSCAN2
55006 TRMT61B
55007 FAM118A
55011 PIH1D1
55023 PHIP
55037 PTCD3
55075 UACA
55088 CCDC186
55090 MED9
55118 CRTAC1
55152 DALRD3
55188 RIC8B
55218 EXD2
55227 LRRC1
55268 ECHDC2
55286 C4orf19
55335 NIPSNAP3B
55366 LGR4
55450 CAMK2N1
55471 NDUFAF7
55534 MAML3
55536 CDCA7L
55567 DNAH3
55616 ASAP3
55651 NHP2
55658 RNF126
55727 BTBD7
55761 TTC17
55777 MBD5
55818 KDM3A
55823 VPS11
55830 GLT8D1
55851 PSENEN
55857 KIZ
55876 GSDMB
55957 LIN37
55974 SLC50A1
56134 PCDHAC2
56155 TEX14
56165 TDRD1
56172 ANKH
56341 PRMT8
56731 SLC2A4RG
56893 UBQLN4
56894 AGPAT3
56896 DPYSL5
56902 PNO1
56911 MAP3K7CL
56916 SMARCAD1
57092 PCNP
57121 LPAR5
57146 TMEM159
57150 SMIM8
57188 ADAMTSL3
57282 SLC4A10
57333 RCN3
57452 GALNT16
57491 AHRR
57504 MTA3
57521 RPTOR
57538 ALPK3
57545 CC2D2A
57602 USP36
57609 DIP2B
57619 SHROOM3
57798 GATAD1
57821 CCDC181
57864 SLC46A2
58473 PLEKHB1
58489 ABHD17C
58529 MYOZ1
60509 AGBL5
60529 ALX4
60626 RIC8A
63826 SRR
63891 RNF123
63934 ZNF667
63941 NECAB3
63951 DMRTA1
64215 DNAJC1
64320 RNF25
64374 SIL1
64410 KLHL25
64428 NARFL
64641 EBF2
64753 CCDC136
64761 PARP12
64771 C6orf106
64777 RMND5B
64788 LMF1
64799 IQCH
64854 USP46
64943 NT5DC2
65055 REEP1
65264 UBE2Z
65268 WNK2
65988 ZNF747
79001 VKORC1
79012 CAMKV
79018 GID4
79027 ZNF655
79038 ZFYVE21
79047 KCTD15
79068 FTO
79153 GDPD3
79154 DHRS11
79155 TNIP2
79365 BHLHE41
79577 CDC73
79591 C10orf76
79594 MUL1
79670 ZCCHC6
79690 GAL3ST4
79699 ZYG11B
79713 IGFLR1
79719 AAGAB
79720 VPS37B
79724 ZNF768
79759 ZNF668
79780 CCDC82
79803 HPS6
79877 DCAKD
79892 MCMBP
79893 GGNBP2
79903 NAA60
79933 SYNPO2L
80045 GPR157
80114 BICC1
80117 ARL14
80122 MAP3K19
80298 MTERF2
80315 CPEB4
80731 THSD7B
80774 LIMD2
80776 B9D2
80790 CMIP
80816 ASXL3
80864 EGFL8
81300 OR4P4
81327 OR4A16
81493 SYNC
81545 FBXO38
81554 WBSCR16
81566 CSRNP2
81619 TSPAN14
81689 ISCA1
81846 SBF2
81848 SPRY4
81928 CABLES2
83450 LRRC48
83473 KATNAL2
83698 CALN1
83706 FERMT3
83707 TRPT1
83851 SYT16
83988 NCALD
84081 NSRP1
84085 FBXO30
